BookID,Title,AuthorID,GenreID,ISBN,Publisher,PublicationDate,Stock,Price,Photo
2,The Kitchen God's Wife,201157,444,0399135782,Vintage,1993-11-01,14,76.42,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
3,What If?: The World's Foremost Military Historians Imagine What Might Have Been,111197,537,0425176428,Berkley,2000-09-01,4,463.38,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
4,The Testament,200885,444,0440234743,Forge Books,2006-09-01,8,486.61,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
5,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,101458,564,0609804618,Three Rivers Press,1999-03-01,3,255.65,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
6,Airframe,200856,444,0345402871,Knopf,1996-11-01,17,235.25,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
7,Timeline,200856,444,0345417623,Ballantine Books,2000-10-01,5,437.58,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
8,Lying Awake,110288,444,0375406328,Alfred A. Knopf,2000-09-01,15,192.34,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
9,Seabiscuit: An American Legend,201038,1097,0449005615,Ballantine Books,2002-03-01,19,448.94,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
10,Pigs in Heaven,201154,444,0060168013,HarpPeren,2003-11-01,12,342.15,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
11,Downtown,203138,444,0061099686,HarperCollins,1994-07-01,20,390.1,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
12,Icebound,207831,444,0553582909,Bantam,2011-04-01,15,85.58,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
13,I'll Be Seeing You,197501,444,0671888587,Simon & Schuster,1993-05-01,4,318.59,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
14,From the Corner of His Eye,200831,444,0553582747,Bantam,2000-12-01,19,181.02,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
16,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),202129,444,0842342702,Living Books,1995-01-01,19,200.64,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
17,The Street Lawyer,200885,444,0440225701,Dell,1999-01-01,9,403.01,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
18,All the King's Men,201598,444,0156047624,Harcourt Brace,1996-09-01,3,466.63,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
19,Breathing Lessons,201509,444,042511774X,"Alfred A. Knopf, Inc.",1988-01-01,14,329.11,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
20,Tess of the D'Urbervilles (Wordsworth Classics),201202,444,1853260053,Wordsworth Editions Ltd,1992-02-01,3,380.56,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg
22,Anil's Ghost,201417,444,0375410538,Knopf,2000-04-01,10,146.93,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg
24,The Catcher in the Rye,200881,669,0316769487,Spark Publishing,2008-01-01,10,205.19,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
