GenreID,GenreName
1,17th Century
2,19th Century
3,20th Century
4,21st Century
5,A+
6,Abuse
7,Accounting
8,Acting & Auditioning
9,Action & Adventure
10,Activities
11,Activity Books
12,Adaptations
13,Administration
14,Adolescence
15,Adolescence & Coming of Age
16,Adolescent
17,Adoption & Fostering
18,Adult
19,Adult & Continuing Education
20,Adult Children of Substance Abusers
21,Adventure
22,Adventure & Adventurers
23,Advertising & Promotion
24,Aeronautics
25,Aesthetics
26,Affirmations
27,Africa
28,African
29,African American
30,African American Studies
31,Aging
32,Agriculture
33,Air Sports
34,Alcohol
35,Alcoholic
36,Alligators & Crocodiles
37,Alphabet
38,Alternative & Complementary Medicine
39,Alternative Family
40,Alternative History
41,Alternative Therapies
42,American
43,American Government
44,Americas (North
45,Amish
46,Amphibians & Terrariums
47,Anatomy & Physiology
48,Ancient
49,Ancient & Classical
50,Ancient Civilizations
51,Ancient Mysteries & Controversial Knowledge
52,Anecdotes & Quotations
53,Angels & Spirit Guides
54,Anger Management
55,Animals
56,Annuals
57,Anthologies
58,Anthologies (multiple authors)
59,Anthropology
60,Antiques & Collectibles
61,Apes
62,Apologetics
63,Appetizers
64,Applied Psychology
65,Applied Sciences
66,Applique
67,Appreciation
68,Archaeology
69,Architects
70,Architecture
71,Arms Control
72,Aromatherapy
73,Art
74,Art & Architecture
75,Arthurian
76,Artists
77,Asia
78,Asian
79,Asian American
80,Asian American Studies
81,Astrology
82,Astronautics & Space Science
83,Astronomy
84,Astrophysics
85,Atlases
86,Australia & New Zealand
87,Australia & Oceania
88,Authorship
89,Automotive
90,Aviation
91,Baby Names
92,Baking
93,Baltic States
94,Banks & Banking
95,Baptist
96,Barbecue & Grilling
97,Baseball
98,Baseball & Softball
99,Basketball
100,Bears
101,Beauty & Grooming
102,Bedtime & Dreams
103,Beer
104,Beginner
105,Benelux Countries (Belgium
106,Bereavement
107,Beverages
108,Bible Stories
109,Bibles
110,Biblical Biography
111,Biblical Commentary
112,Biblical Criticism & Interpretation
113,Biblical Meditations
114,Biblical Reference
115,Biblical Studies
116,Bibliographies & Indexes
117,Biochemistry
118,Biographical
119,Biography & Autobiography
120,Biology
121,Biostatistics
122,Biotechnology
123,Bipolar Disorder
124,Birds
125,Birds & Birdwatching
126,Birdwatching Guides
127,Birthdays
128,Blended Families
129,Board Games
130,Boarding School & Prep School
131,Boating
132,Boats
133,Body
134,Bodybuilding & Weight Training
135,Book Notes
136,Books
137,Books & Reading
138,Boxing
139,Boys & Men
140,Bread
141,Breakfast
142,Breastfeeding
143,Breeds
144,Buddhism
145,Budgeting
146,Buildings
147,Bulbs
148,Bullying
149,Business
150,Business & Economics
151,Business & Financial
152,Business & Professional
153,Business Aspects
154,Business Communication
155,Business Development
156,Business Ethics
157,Business Etiquette
158,C
159,C++
160,CA
161,CO
162,Cajun & Creole
163,Cakes
164,Calculus
165,California Style
166,Calligraphy
167,Campaigns & Elections
168,Camping
169,Canada
170,Canadian
171,Cancer
172,Canning & Preserving
173,Card Games
174,Career Development
175,Careers
